Instance,Configuration,Value,Time_Seconds,Feasible
instance-11.txt,STANDARD+ALPHA,3097.00,601,Yes
instance-14.txt,STANDARD+ALPHA,1302.00,601,Yes
instance-13.txt,STANDARD+ALPHA,1335.00,604,Yes
instance-11.txt,STANDARD+ALPHA,2704.00,601,Yes
instance-13.txt,STANDARD+ALPHA,1315.00,602,Yes
instance-14.txt,STANDARD+ALPHA,1271.00,604,Yes
instance-11.txt,STANDARD+ALPHA,2803.00,603,Yes
instance-14.txt,STANDARD+ALPHA,1522.00,603,Yes
instance-13.txt,STANDARD+ALPHA,1412.00,605,Yes
instance-11.txt,STANDARD+ALPHA,2903.00,601,Yes
instance-14.txt,STANDARD+ALPHA,1623.00,602,Yes
instance-13.txt,STANDARD+ALPHA,1166.00,605,Yes
instance-13.txt,STANDARD+ALPHA,1137.00,603,Yes
instance-11.txt,STANDARD+ALPHA,3004.00,603,Yes
instance-14.txt,STANDARD+ALPHA,1905.00,605,Yes
instance-14.txt,STANDARD+ALPHA,1431.00,600,Yes
instance-11.txt,STANDARD+ALPHA,2848.00,602,Yes
instance-13.txt,STANDARD+ALPHA,1031.00,605,Yes
instance-11.txt,STANDARD+ALPHA,3262.00,600,Yes
instance-14.txt,STANDARD+ALPHA,1441.00,600,Yes
instance-13.txt,STANDARD+ALPHA,1224.00,605,Yes
instance-11.txt,STANDARD+ALPHA,2971.00,602,Yes
instance-13.txt,STANDARD+ALPHA,1117.00,603,Yes
instance-14.txt,STANDARD+ALPHA,1753.00,605,Yes
instance-11.txt,STANDARD+ALPHA,3541.00,603,Yes
instance-13.txt,STANDARD+ALPHA,1146.00,604,Yes
instance-14.txt,STANDARD+ALPHA,1818.00,605,Yes
instance-11.txt,STANDARD+ALPHA,3265.00,601,Yes
instance-14.txt,STANDARD+ALPHA,1491.00,604,Yes
instance-13.txt,STANDARD+ALPHA,1230.00,605,Yes
instance-14.txt,STANDARD+ALPHA,1439.00,603,Yes
instance-11.txt,STANDARD+ALPHA,3033.00,604,Yes
instance-13.txt,STANDARD+ALPHA,1270.00,605,Yes
